model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,composite_score
XGBoost,0.9856971215744595,0.28892272121567364,0.3826796271784147,0.28892272121567364,0.31659759291142525,0.30552764423312456
LogReg,0.35543066512777366,0.4495415068296446,0.19203978658913032,0.4495415068296446,0.12749475208906952,0.2563134539852996
RandomForest,0.9856971286582976,0.21934017795314115,0.36322397872951523,0.21934017795314115,0.24440746121274448,0.23438054790890317
